Hide Paper (yes/no/sched/proc)	Day Date	Ses Title	Ses Code	Ses Time	Ses End Time	Ses Room	Ses Chair	Ses Chair Aff	Ses CoChair	Ses CoChair Aff	Pap ID	Pap Title (IGNORED)	Pap Track (IGNORED)	Pap Status (IGNORED)	Pap Presenter	Pap Time	Pap End Time	Pap Subcode	Pap Flag	Gen Title	Gen Presenter	Gen Time	Gen End Time	Gen Subcode
no		Spoken Language Processing and Language Modeling (Long + TACL Papers)	9C	15:40	17:20	Room 1																		
no											258					15:40	16:05							
no											580					16:05	16:30							
no											382					16:55	17:20							
no		Long Paper Posters 9	9D	15:40	17:20	Lower Level Foyer																		
																				Long Paper Cluster 1: Semantics (P1-8)	Poster Presenters	15:40	17:20	
no											105													
no											109													
no											116													
no											181													
no											185													
no											204													
no											243													
no											308													
no		Short Paper Posters 9	9E	15:40	17:20	Lower Level Foyer																		
																				Short Paper Cluster 1: Sentiment Analysis and Opinion Mining (P1-9)	Poster Presenters	15:40	17:20	
no											772													
no											796													
no											832													
no											1040													
no											1065													
no											1090													
no											1313													
no											1331													
no											1387													
																				Short Paper Cluster 2: NLP for Web and Social Media, including Computational Social Science (P10-17)	Poster Presenters	15:40	17:20	
no											943													
no											983													
no											994													
no											1139													
no											1149													
no											1188													
no											1361													
		Plenary Session		17:30	17:50	Main Auditorium																		
no																				Closing Remarks	Multiple Speakers	17:30	17:50	
																								
																				Farewell (at Culturgest)		18:30	21:00	
