Hide Paper (yes/no/sched/proc)	Day Date	Ses Title	Ses Code	Ses Time	Ses End Time	Ses Room	Ses Chair	Ses Chair Aff	Ses CoChair	Ses CoChair Aff	Pap ID	Pap Title (IGNORED)	Pap Track (IGNORED)	Pap Status (IGNORED)	Pap Presenter	Pap Time	Pap End Time	Pap Subcode	Pap Flag	Gen Title	Gen Presenter	Gen Time	Gen End Time	Gen Subcode
no											1060													
no											1066													
no											1081													
no											1104													
no											1133													
no											1134													
no											1161													
no											1189													
no											1203													
no											1251													
no																				Lunch		12:10	13:30	
no		Fun and Quirky Topics (Short Papers)	8A	13:30	15:15	Main Auditorium	Yanjun Ma																	
no											838					13:30	13:45							
no											760					13:45	14:00							
no											853					14:00	14:15							
no											1302					14:15	14:30							
no											873					14:30	14:45							
no											1352					14:45	15:00							
no											1109					15:00	15:15							
no		Semantics (Short Papers)	8B	13:30	15:15	Small Auditorium	Marco Baroni																	
no											835					13:30	13:45							
no											789					13:45	14:00							
no											858					14:00	14:15							
no											1145					14:15	14:30							
no											1231					14:30	14:45							
no											1327					14:45	15:00							
no											1422					15:00	15:15							
no		Statistical Models and Machine Learning Methods / Machine Translation (Short Papers)	8C	13:30	15:15	Room 2	Kevin Gimpel																	
no											1311					13:30	13:45							
no											755					13:45	14:00							
no											1233					14:00	14:15							
no											1295					14:15	14:30							
no											744					14:30	14:45							
no											960					14:45	15:00							
no											1294					15:00	15:15							
no		NLP for Web and Social Media, including Computational Social Science (Long Paper Posters)	8D (P1-6)	13:30	15:15	Lower Level Foyer	Tim Baldwin																	
no											228													
no											249													
no											459													
no											481													
no											598													
no											621													
no		Discourse (Long Paper Posters)	8D (P7-9)	13:30	15:15	Lower Level Foyer	Tim Baldwin																	
no											363													
no											587													
no											677													
no		Discourse (Short Paper Posters)	8E (P1-9)	13:30	15:15	Lower Level Foyer	Owen Rambow																	
no											276													
no											748													
no											799													
no											880													
no											1041													
no											1044													
no											1056													
no											1091													
no											1115													
		Phonology, Morphology and Word Segmentation (Short Paper Posters)	8E (P10-15)	13:30	15:15	Lower Level Foyer	Owen Rambow																	
no											815													
no											816													
no											894													
no											988													
no											1391													
no											1460													
no																				Coffee break		15:15	15:40	
no		Statistical Models and Machine Learning Methods (Long + TACL Papers)	9A	15:40	17:20	Main Auditorium	Jason Eisner																	
no											60					15:40	16:05							
no											323					16:05	16:30							
no											588					16:30	16:55							
no																				%ext tacl-final:11	%u https://aclweb.org/anthology/Q/Q15/Q15-1033.pdf	16:55	17:20	[TACL]
no		Text Mining and NLP Applications (Long Papers)	9B	15:40	17:20	Small Auditorium	Shuming Shi																	
no											147					15:40	16:05							
no											454					16:05	16:30							
no											660					16:30	16:55							
no											315					16:55	17:20							
no		Spoken Language Processing and Language Modeling (Long Papers)	9C	15:40	17:20	Room 2	Isabel Trancoso																	
no											258					15:40	16:05							
no											580					16:05	16:30							
no											638					16:30	16:55							
no											382					16:55	17:20							
no		Semantics (Long Paper Posters)	9D (P1-8)	15:40	17:20	Lower Level Foyer	Nathan Schneider																	
no											105													
no											109													
no											116													
no											181													
no											185													
no											204													
no											243													
no											308													
no		Sentiment Analysis and Opinion Mining (Short Paper Posters)	9E (P1-9)	15:40	17:20	Lower Level Foyer	Kang Liu																	
no											772													
no											796													
no											832													
no											1040													
no											1065													
no											1090													
no											1313													
no											1331													
no											1387													
		NLP for Web and Social Media, including Computational Social Science (Short Paper Posters)	9E (P10-17)	15:40	17:20	Lower Level Foyer	Kang Liu																	
no											943													
no											983													
no											994													
no											1139													
no											1149													
no											1188													
no											1361													
		Closing Remarks	P5	17:30	17:50	Main Auditorium																		
		Farewell Drink		18:30	20:00	Culturgest																		
